,Team,Match Up,Game Date,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,a.Team,a.Match Up,a.Game Date,a.W/L,a.PTS,a.FGM,a.FGA,a.FG%,a.3PM,a.3PA,a.3P%,a.FTM,a.FTA,a.FT%,a.OREB,a.DREB,a.REB,a.AST,a.STL,a.BLK,a.TOV,a.PF,a.+/-
118,CHA,CHA vs. CLE,03/12/2023,L,108,41,80,51.3,10,21,47.6,16,22,72.7,7,36,43,25,8,5,19,26,-6,CLE,CLE @ CHA,03/12/2023,W,114,41,87,47.1,7,27,25.9,25,34,73.5,11,29,40,18,8,3,10,22,6
119,NOP,NOP vs. POR,03/12/2023,W,127,43,86,50.0,19,40,47.5,22,29,75.9,8,35,43,35,11,7,15,19,17,POR,POR @ NOP,03/12/2023,L,110,43,88,48.9,10,33,30.3,14,20,70.0,10,36,46,26,10,2,19,21,-17
120,DEN,DEN vs. BKN,03/12/2023,L,120,45,90,50.0,12,31,38.7,18,24,75.0,15,34,49,27,4,8,15,19,-2,BKN,BKN @ DEN,03/12/2023,W,122,42,84,50.0,17,44,38.6,21,24,87.5,4,24,28,32,11,2,10,21,2
121,LAL,LAL vs. NYK,03/12/2023,L,108,43,89,48.3,12,36,33.3,10,17,58.8,10,27,37,24,6,2,11,17,-4,NYK,NYK @ LAL,03/12/2023,W,112,42,88,47.7,11,37,29.7,17,21,81.0,12,34,46,18,8,3,11,18,4
122,ORL,ORL vs. MIA,03/11/2023,W,126,48,99,48.5,13,37,35.1,17,20,85.0,15,39,54,34,10,10,19,20,12,MIA,MIA @ ORL,03/11/2023,L,114,42,94,44.7,11,37,29.7,19,20,95.0,5,30,35,19,8,2,17,17,-12
123,PHX,PHX vs. SAC,03/11/2023,L,119,44,89,49.4,13,44,29.5,18,22,81.8,7,33,40,30,11,3,14,26,-9,SAC,SAC @ PHX,03/11/2023,W,128,41,85,48.2,15,35,42.9,31,37,83.8,8,31,39,19,10,2,15,19,9
124,GSW,GSW vs. MIL,03/11/2023,W,125,46,112,41.1,23,55,41.8,10,11,90.9,18,47,65,33,12,4,15,15,9,MIL,MIL @ GSW,03/11/2023,L,116,43,100,43.0,21,51,41.2,9,11,81.8,7,41,48,28,9,7,17,14,-9
125,NOP,NOP vs. OKC,03/11/2023,L,96,34,81,42.0,12,34,35.3,16,19,84.2,8,35,43,23,3,4,22,25,-14,OKC,OKC @ NOP,03/11/2023,W,110,37,80,46.3,9,28,32.1,27,32,84.4,4,34,38,17,11,2,12,17,14
126,HOU,HOU vs. CHI,03/11/2023,L,111,41,85,48.2,16,34,47.1,13,17,76.5,6,27,33,28,10,3,16,19,-8,CHI,CHI @ HOU,03/11/2023,W,119,44,86,51.2,15,32,46.9,16,22,72.7,13,31,44,25,7,9,14,17,8
127,MEM,MEM vs. DAL,03/11/2023,W,112,41,86,47.7,10,38,26.3,20,24,83.3,11,34,45,25,7,5,11,16,4,DAL,DAL @ MEM,03/11/2023,L,108,39,85,45.9,15,43,34.9,15,23,65.2,10,33,43,25,4,3,11,17,-4
128,ATL,ATL vs. BOS,03/11/2023,L,125,50,100,50.0,10,34,29.4,15,16,93.8,13,35,48,24,4,4,10,17,-9,BOS,BOS @ ATL,03/11/2023,W,134,52,95,54.7,20,42,47.6,10,12,83.3,5,35,40,35,6,6,9,21,9
129,DET,DET vs. IND,03/11/2023,L,115,43,94,45.7,11,34,32.4,18,27,66.7,12,30,42,25,7,7,12,24,-6,IND,IND @ DET,03/11/2023,W,121,43,93,46.2,9,35,25.7,26,34,76.5,18,40,58,24,7,6,14,20,6
130,CHA,CHA vs. UTA,03/11/2023,L,111,40,98,40.8,17,40,42.5,14,15,93.3,11,32,43,24,5,14,7,15,-8,UTA,UTA @ CHA,03/11/2023,W,119,46,103,44.7,9,32,28.1,18,20,90.0,20,40,60,22,4,4,11,17,8
131,LAC,LAC vs. NYK,03/11/2023,W,106,42,87,48.3,10,30,33.3,12,16,75.0,7,32,39,22,3,4,10,20,11,NYK,NYK @ LAC,03/11/2023,L,95,32,90,35.6,7,31,22.6,24,27,88.9,20,34,54,21,5,3,10,17,-11
132,PHI,PHI vs. POR,03/10/2023,W,120,43,83,51.8,11,30,36.7,23,29,79.3,12,30,42,25,7,4,10,24,1,POR,POR @ PHI,03/10/2023,L,119,42,80,52.5,15,36,41.7,20,30,66.7,5,31,36,24,6,3,9,17,-1
133,LAL,LAL vs. TOR,03/10/2023,W,122,45,80,56.3,13,30,43.3,19,19,100.0,5,30,35,28,8,8,21,10,10,TOR,TOR @ LAL,03/10/2023,L,112,46,92,50.0,10,28,35.7,10,13,76.9,10,27,37,29,14,3,13,16,-10
134,MIN,MIN vs. BKN,03/10/2023,L,123,48,98,49.0,9,30,30.0,18,29,62.1,12,35,47,29,10,6,14,21,-1,BKN,BKN @ MIN,03/10/2023,W,124,42,91,46.2,16,34,47.1,24,33,72.7,12,36,48,20,7,5,15,26,1
135,MIA,MIA vs. CLE,03/10/2023,W,119,42,82,51.2,14,29,48.3,21,23,91.3,11,35,46,22,7,4,16,20,4,CLE,CLE @ MIA,03/10/2023,L,115,40,86,46.5,18,43,41.9,17,21,81.0,8,26,34,25,5,6,11,20,-4
